scenario,algorithm,seed,num_devices,overall_sla_violation_count,overall_sla_violation_rate_pct,fairness_index,utility_score,mmtc_avg_latency_ms,mmtc_p95_latency_ms,mmtc_p99_latency_ms,mmtc_avg_throughput_mbps,mmtc_avg_packet_loss_pct,mmtc_sla_violation_rate_pct,mmtc_load_ratio,embb_avg_latency_ms,embb_p95_latency_ms,embb_p99_latency_ms,embb_avg_throughput_mbps,embb_avg_packet_loss_pct,embb_sla_violation_rate_pct,embb_load_ratio,urllc_avg_latency_ms,urllc_p95_latency_ms,urllc_p99_latency_ms,urllc_avg_throughput_mbps,urllc_avg_packet_loss_pct,urllc_sla_violation_rate_pct,urllc_load_ratio
balanced,psdas_fixed_weights,1,180,178,98.889,0.8259,0.2812,183.014,195.522,195.795,2.753,3.739,100.0,1.465,69.976,78.242,78.608,9.455,2.331,96.429,1.458,17.462,21.464,21.927,4.515,0.468,100.0,1.504
video_heavy,psdas_fixed_weights,1,180,180,100.0,0.8316,0.1912,311.613,332.75,332.84,2.457,7.371,100.0,2.186,119.174,135.023,135.403,5.016,4.581,100.0,2.204,29.751,36.905,37.329,2.8,0.869,100.0,2.319
emergency_burst,psdas_fixed_weights,1,180,180,100.0,0.8124,0.2642,215.994,229.653,230.064,3.182,4.658,100.0,1.647,81.861,91.017,91.512,9.314,2.891,100.0,1.624,19.881,25.483,26.416,3.496,0.548,100.0,1.751
high_congestion,psdas_fixed_weights,1,220,220,100.0,0.7989,0.1718,316.512,336.489,336.738,1.578,7.512,100.0,2.207,121.116,135.265,135.945,4.119,4.687,100.0,2.208,30.727,36.988,37.674,2.089,0.917,100.0,2.335
noisy_channel,psdas_fixed_weights,1,200,200,100.0,0.8268,0.2366,226.165,242.267,242.486,2.461,4.94,100.0,1.711,85.304,94.54,95.441,6.618,3.072,100.0,1.674,22.179,27.156,27.571,3.847,0.605,100.0,1.819
