mode,slice_name,device_count,avg_latency_ms,p95_latency_ms,p99_latency_ms,avg_throughput_mbps,avg_packet_loss_pct,sla_violation_count,sla_violation_rate_pct,load_ratio
static,mMTC,100,86.186,93.045,93.381,0.612,1.383,69,69.0,0.656
static,eMBB,41,87.044,97.698,98.406,12.9,3.599,41,100.0,1.686
static,URLLC,39,7.859,10.314,11.122,4.783,0.154,3,7.692,0.999
