mode,slice_name,device_count,avg_latency_ms,p95_latency_ms,p99_latency_ms,avg_throughput_mbps,avg_packet_loss_pct,sla_violation_count,sla_violation_rate_pct,load_ratio
dynamic,mMTC,114,138.36,146.608,146.979,1.68,2.441,114,100.0,1.207
dynamic,eMBB,32,69.839,78.681,78.966,19.526,2.285,32,100.0,1.46
dynamic,URLLC,34,14.324,18.548,18.872,9.255,0.349,34,100.0,1.478
