mode,slice_name,device_count,avg_latency_ms,p95_latency_ms,p99_latency_ms,avg_throughput_mbps,avg_packet_loss_pct,sla_violation_count,sla_violation_rate_pct,load_ratio
dynamic,mMTC,75,320.905,343.762,344.047,1.479,7.59,75,100.0,2.246
dynamic,eMBB,56,151.248,169.571,169.711,6.757,6.026,56,100.0,2.656
dynamic,URLLC,49,33.302,43.334,44.363,4.02,0.949,49,100.0,2.715
