mode,slice_name,device_count,avg_latency_ms,p95_latency_ms,p99_latency_ms,avg_throughput_mbps,avg_packet_loss_pct,sla_violation_count,sla_violation_rate_pct,load_ratio
psdas,mMTC,65,314.663,334.238,334.726,1.643,7.469,65,100.0,2.196
psdas,eMBB,83,121.33,135.495,135.955,4.028,4.698,83,100.0,2.21
psdas,URLLC,72,30.829,37.366,37.799,2.092,0.915,72,100.0,2.339
