mode,slice_name,device_count,avg_latency_ms,p95_latency_ms,p99_latency_ms,avg_throughput_mbps,avg_packet_loss_pct,sla_violation_count,sla_violation_rate_pct,load_ratio
dynamic,mMTC,80,284.729,301.577,301.825,1.948,6.61,80,100.0,2.024
dynamic,eMBB,55,133.611,149.091,150.286,6.422,5.213,55,100.0,2.402
dynamic,URLLC,45,30.301,38.281,39.4,4.123,0.868,45,100.0,2.456
