mode,slice_name,device_count,avg_latency_ms,p95_latency_ms,p99_latency_ms,avg_throughput_mbps,avg_packet_loss_pct,sla_violation_count,sla_violation_rate_pct,load_ratio
static,mMTC,107,88.616,94.104,94.394,0.503,1.437,93,86.916,0.678
static,eMBB,54,112.629,127.199,128.093,7.387,4.995,54,100.0,2.064
static,URLLC,19,6.523,8.348,8.399,5.891,0.14,0,0.0,0.682
