mode,slice_name,device_count,avg_latency_ms,p95_latency_ms,p99_latency_ms,avg_throughput_mbps,avg_packet_loss_pct,sla_violation_count,sla_violation_rate_pct,load_ratio
static,mMTC,102,81.166,87.041,87.084,0.508,1.412,64,62.745,0.534
static,eMBB,62,123.394,141.855,141.991,6.069,5.51,62,100.0,2.232
static,URLLC,16,5.841,7.677,7.687,5.554,0.131,0,0.0,0.482
